chapter  listing    file     lines
   2      2.1      2_05.rb    1-9
   2      2.2      2_10.rb    1-17
   2      2.3      2_15.rb    1-24
   2      2.4      2_15.rb    26-29
   2      2.5      2_20.rb    1-10
   2      2.6      2_20.rb    14-24
   2      2.7      2_20.rb    28-31
   2      2.8      2_20.rb    33-36
   2      2.9      2_20.rb    38-41
   2      2.10     2_20.rb    44-53,57-66
   2      2.11     2_25.rb    1-13
   2      2.12     2_25.rb    15-16
   2      2.13     2_25.rb    18-35
   2      2.14     2_25.rb    24-27
   2      2.15     2_30.rb    7-15
   2      2.16     2_30.rb    42-45
   2      2.17     2_30.rb    66-72
   2      2.18     2_35.rb    1-22
   2      2.19     2_40.rb    1-43
   3      3.1      3_05.rb    4-38
   3      3.2      3_05.rb    4-15,2,21-22,36-37
   3      3.3      3_10.rb    1-12,16,29-32
   3      3.4      3_15.rb    1-12,15-16,29-31
   3      3.5      3_20.rb    1-17,21,34-36
   3      3.6      3_25.rb    1-3
   3      3.7      3_25.rb    5-9
   3      3.8      3_25.rb    11-19
   3      3.9      3_30.rb    16-23,31-37
   3      3.10     3_30.rb    74-81,89
   3      3.11     3_30.rb    91-95
   3      3.12     3_30.rb    97-101
   3      3.13     3_35.rb    17-24,32-35
   3      3.14     3_35.rb    42-53,61-67
   3      3.15     3_40.rb    1-10,18-20,33-45
   3      3.16     3_45.rb    2-42
   5      5.1      5_05.rb    1-3,10-28
   5      5.2      5_10.rb    1-4,11-29,31-36,38-41,43-44
   5      5.3      5_15.rb    1-4,11-25,34-40,45-53,63
   5      5.4      5_20.rb    60,69-83
   5      5.5      5_20.rb    102-109
   5      5.6      5_20.rb    130-137
   5      5.7      5_25.rb    1-22
   6      6.1      6_05.rb    1-28
   6      6.2      6_10.rb    1-48
   6      6.3      6_15.rb    20-32
   6      6.4      6_15.rb    34-42, 45-49
   6      6.5      6_20.rb    1-10,24-25,26-28,40
   6      6.6      6_20.rb    42-55
   6      6.7      6_25.rb    1-15,22-23
   6      6.8      6_25.rb    39-52
   6      6.9      6_25.rb    9,22,17-21,23
   6      6.10     6_25.rb    25,22,34-37
   6      6.11     6_25.rb    57-58
   6      6.12     6_26.rb    1-9
   6      6.13     6_30.rb    1-16,33,30-32,34-36,52,49-51,53
   6      6.14     6_30.rb    56-69
   6      6.15     6_30.rb    73-80
   6      6.16     6_35.rb    1,13-17
   6      6.17     6_35.rb    65-66
   6      6.18     6_37.rb    1,13-18
   6      6.19     6_37.rb    65-67
   6      6.20     6_37.rb    20,37,28-32,38
   6      6.21     6_37.rb    40,56,49-51,57
   6      6.22     6_40.rb    2,1,11-14,23
   6      6.23     6_40.rb    2-59
   6      6.24     6_40.rb    76-97,99-101
   6      6.25     6_45.rb    2-12,22-23,1,33-40,49
   6      6.26     6_45.rb    2,1,13-17,25-28,33-35,1,42-44,49
   6      6.27     6_46.rb    2-86
   6      6.28     6_46.rb    89-115
   7      7.1      7_05.rb    1-3,7-17
   7      7.2      7_05.rb    1-2,4-7,16
   7      7.3      7_05.rb    19-54
   7      7.4      7_10.rb    19-38
   7      7.5      7_10.rb    40-56
   7      7.6      7_10.rb    59-86
   8      8.1      8_05.rb    1-12
   8      8.2      8_05.rb    14-77
   8      8.3      8_05.rb    80-103
   8      8.4      8_10.rb    1-34
   8      8.5      8_10.rb    38-54
   8      8.6      8_10.rb    57-58
   8      8.7      8_10.rb    62-72,76-100,104-115
   8      8.8      8_10.rb    120-124
   8      8.9      8_15.rb    1-3
   8      8.10     8_15.rb    19-23
   8      8.11     8_15.rb    75-91
   8      8.12     8_20.rb    14-27
   8      8.13     8_20.rb    63-82
   8      8.14     8_25.rb    55-64
   8      8.15     8_25.rb    40-52
   8      8.16     8_25.rb    67,71-79,80,84-91
   8      8.17     8_25.rb    29-37
   8      8.18     8_30.rb    30-44
   8      8.19     8_30.rb    73-84
   8      8.20     8_30.rb    1-28,30-45,47-57
   8      8.21     8_30.rb    59-63,67-71,73-77,81-84
   8      8.22     8_30.rb    88-101
   9      9.1      9_05.rb    1-31
   9      9.2      9_05.rb    40-48
   9      9.3      9_05.rb    52-55
   9      9.4      9_05.rb    59-71
   9      9.5      9_05.rb    76-79
   9      9.6      9_15.rb    1-18
   9      9.7      9_15.rb    50-61
   9      9.8      9_15.rb    64-67
   9      9.9      9_20.rb    19-30
   9      9.10     9_20.rb    2,9-11,17
   9      9.11     9_20.rb    62-69
   9      9.12     9_25.rb    51-69
   9      9.13     9_25.rb    72-75
   9      9.14     9_30.rb    72-75
   9      9.15     9_35.rb    49-65
   9      9.16     9_35.rb    68-72
